序号,Unit,单词,真题词频,完整释义（保留红色）,标红释义,页码,词条起始页
1,1,advance,46,"n.进步；进展
vt.促进；推动
a.预先的",,1,1
2,1,advanced,14,a.先进的；（课程）高级的，高等的,先进的,1,1
3,1,agent,23,n.经纪人，代理人；因素；动力,,1,1
4,1,react,14,vi.（做出）反应；（对食物等）过敏,（做出）反应,1,1
5,1,actual,13,a.实际的，真实的,,1,1
6,1,interact,11,vi.交流；交往；互相来往,,1,1
7,1,exact,9,a.精确的；确切的,,1,1
8,1,transaction,9,n.交易，业务,,1,1
9,1,parallel,12,a.极相似的；相应的；同时发生的；平行的,极相似的；平行的,1,1
10,1,alter,34,vt./vi.（使）改变，更改，改动,,1,1
11,1,alternative,12,"n.可供选择的事物
a.另外的；可替代的",可供选择的事物,1,1
12,1,amateur,17,"n.业余爱好者；外行
a.业余的",业余爱好者；业余的,1,1
13,1,ancient,20,a.古代的；古老的,,1,1
14,1,annual,19,"a.一年一度的，每年的；全年的
n.年刊",每年的,"1,2",1
15,1,anxiety,16,n.焦虑；忧虑；渴望；担心；害怕,,2,2
16,1,anxious,14,a.焦虑的；忧虑的；渴望的；急切的；紧张的,焦虑的；渴望的,2,2
17,1,adapt,27,"vt./vi.（使）适应，（使）适合
vt.改造；改编",,2,2
18,1,automation,17,n.自动化,,2,2
19,1,abandon,11,vt.放弃；（不得已而）舍弃；抛弃（某人）,放弃,2,2
20,1,debate,34,"n.争论，辩论
vt./vi.（尤指正式）讨论",辩论；讨论,2,2
21,1,battle,12,"n.斗争；争论；战役；战斗
vt./vi.斗争",,2,2
22,1,bias,14,"n.偏见
vt.使有偏见",,2,2
23,1,combine,24,"vt./vi.（使）结合，组合，混合
vt.兼备；兼有",,2,2
24,1,biology,9,n.生理习性；生物学,,2,2
25,1,brief,14,a.短时间的；短暂的；简洁的；简单的,,2,2
26,1,cancer,36,n.癌；癌症；（社会）毒瘤,,2,2
27,1,candidate,15,n.候选人，申请人；应试者,候选人,2,2
28,1,capital,21,n.资本，资金；资方；中心；首都,,3,3
29,1,carbon,46,n.碳,,3,3
30,1,career,47,n.事业；职业；职业生涯,,3,3
31,1,carry,60,vt.携带；具有（特点、后果等）；承担（责任）,,3,3
32,1,forecast,11,"n.预测；预报
vt.预测；预报",,3,3
33,1,cautious,10,a.小心的，谨慎的，慎重的,,3,3
34,1,perceive,17,vt.意识到；察觉到；注意到；将……视为；认为,察觉到,3,3
35,1,celebrity,14,n.（尤指娱乐界的）明星，名人,,3,3
36,1,celebrate,10,"vt.歌颂；颂扬
vt./vi.庆祝；庆贺",,3,3
37,1,accelerate,9,vt./vi.（使）加速，加快,,3,3
38,1,percentage,13,n.百分比；百分率；提成,,3,3
39,1,centre,15,n.中心；中央；焦点,,3,3
40,1,central,20,a.主要的；最重要的；中央的,,3,3
41,1,concentrate,13,"vt.使……集中
n.浓缩物",,3,3
42,1,capacity,39,n.领悟能力；容量,,"3,4",3
43,1,escape,16,"vt./vi.逃脱，逃避
n.逃脱",逃脱；逃避；逃脱,4,4
44,1,participant,25,n.参与者；参加者,,4,4
45,1,capture,19,vt.吸引（注意力）；激发（想象）；占领，俘虏,,4,4
46,1,capable,14,a.有……能力的；能够……的；能力强的,,4,4
47,1,accept,47,"vt./vi.收受；接受
vt.承受；相信",,4,4
48,1,exception,16,n.例外；除外,,4,4
49,1,exceptional,21,a.例外的；特殊的；杰出的；优秀的,,4,4
50,1,certain,68,a.特定的；某个；确信；无疑,,4,4
51,1,procedure,18,n.（正常）程序，步骤，手续；手术,程序；步骤；手术,4,4
52,1,access,48,n.机会，权利；进入（权）；通道,通道,4,4
53,1,necessary,48,a.必要的；必需的；必然的；无法避免的,,4,4
54,1,necessity,19,n.必要；需要；必需品；必需的事物,必要；必需品,4,4
55,1,recession,20,n.经济衰退；经济萎缩；退后；撤回,,4,4
56,1,chart,32,"n.图表
vt.记录，跟踪（进展）",,"4,5",4
57,1,chemical,19,"a.化学反应的；化学的
n.化学品",化学的；化学品,5,5
58,1,accident,17,n.意外遭遇；不测事件；事故；意外,,5,5
59,1,casual,9,a.不经意的；随便的；非正式的；碰巧的,不经意的；随便的,5,5
60,1,decide,63,vt./vi.决定，决断；裁决；判决,,5,5
61,1,suicide,10,n.自杀；自毁，自取灭亡的行为,,5,5
62,1,council,10,"n.委员会；理事会
a.地方政府出租的",,5,5
63,1,citizen,26,n.公民；市民；居民,,5,5
64,1,cite,23,vt.举出（示例）；列举；引用；援引；传讯；传唤,列举；引用,5,5
65,1,exciting,9,a.令人激动的；使人兴奋的,,5,5
66,1,civil,8,a.民用的；公民的；国民的；客气的,,5,5
67,1,civilization,18,n.文明；人类文明的生活,,5,5
68,1,declare,10,vt.宣布；宣告；宣称；表明；申报,,5,5
69,1,classical,14,a.古典的；经典的；传统的,,5,5
70,1,classify,12,vt.将……分类；将……归类；界定；划分,,"5,6",5
71,1,client,11,n.委托人；客户；顾客,,6,6
72,1,decline,53,"n.减少，衰落
vt./vi.谢绝",减少；衰落,6,6
73,1,conclusion,16,n.结论；推论；结束；结尾,,6,6
74,1,conclude,29,"vt.断定；得出结论
vt./vi.（使）结束",,6,6
75,1,contrary,13,a.相反的；相对的,,6,6
76,1,corporation,27,n.大公司；大企业,大公司,6,6
77,1,account,70,n.账户；描述；解释；账目,,6,6
78,1,encounter,10,"n.邂逅，冲突
vt.遇到",遇到,6,6
79,1,discover,48,vt.（出乎意料地）发现，找到；（第一个）发现,,6,6
80,1,discovery,36,n.被发现的事物（或真相、人）；发现,,6,6
81,1,recovery,9,n.复苏；改善；恢复；痊愈,复苏；恢复,6,6
82,1,decrease,22,"vt./vi.（使大小、数量等）减少，降低
n.减少；降低",,6,6
83,1,creative,32,"a.创造（性）的；创作的
n.搞创作的人",创造（性）的,6,6
84,1,creature,8,n.生物；动物；（具有某种特征的）人,,"6,7",6
85,1,criminal,14,"a.犯罪的；犯法的；刑法的；刑事的
n.罪犯",犯罪的；罪犯,7,7
86,2,critic,25,n.批评家；评论家；批评者；挑剔的人,批评家；评论家,7,7
87,2,criticize,19,"vt./vi.批判；指责
vt.评论",评论,7,7
88,2,critical,34,a.极重要的；关键的；批评的；有判断力的,批评的,7,7
89,2,criticism,29,n.批评；批判；指责；评论文章，评论,,7,7
90,2,crucial,18,a.至关重要的；关键性的,,7,7
91,2,crude,14,"a.未加提炼的；粗糙的；粗俗的
n.石油",粗糙的,7,7
92,2,cultivate,9,vt.培养；养成；培育；种植；获得（支持）,培养,7,7
93,2,cure,24,"n.药；疗法；措施，对策
vt.治好；消除",,7,7
94,2,security,41,n.保安措施；保障；安全；保安部门,安全,7,7
95,2,accuracy,10,n.准确性；精准度；准确，正确,,7,7
96,2,occur,36,vi.发生；出现,发生；出现,7,7
97,2,current,46,"a.现时的，当前的，现行的
n.水流，气流",当前的；水流,7,7
98,2,core,15,"a.最重要的；主要的
n.（问题的）核心",,8,8
99,2,discuss,20,vt.讨论；谈论；详述；论述,,8,8
100,2,custom,8,"n.风俗；（个人的）习惯
a.定做的",,8,8
101,2,cycle,13,n.周期；循环；自行车,周期；循环,8,8
102,2,debt,24,n.债务；借款；负债情况,,8,8
103,2,decade,72,n.十年；十年期,,8,8
104,2,damage,33,"n.破损，损害，损伤
vt.损害；破坏",,8,8
105,2,democratic,14,a.民主精神的；民主作风的；民主党的,,8,8
106,2,democracy,9,n.民主制度；民主政体；民主；民主国家,民主制度；民主,8,8
107,2,epidemic,13,n.流行病，传染病；（坏事迅速的）泛滥，蔓延,流行病,8,8
108,2,indicate,28,vt.表明，显示；象征；暗示；指出；指示,表明；指出,8,8
109,2,discipline,22,n.纪律，训练；学科，科目；行为准则,纪律；训练；学科,8,8
110,2,condition,73,n.条件，健康状况；状态,,8,8
111,2,diverse,9,a.不同的；多种多样的,,8,8
112,2,individual,85,"a.单独的；个别的；一个人的
n.个人",单独的；一个人的；个人,9,9
113,2,domestic,14,a.国内的；本国的；家用的；家庭的；家务的,国内的；家用的；家庭的,9,9
114,2,dominate,13,"vt./vi.主宰，控制
vt.俯视；高耸于",,9,9
115,2,dominant,13,a.占支配地位的；显著的；（基因）显性的,占支配地位的,9,9
116,2,introduce,44,vt.首次引入；推行；介绍，引见；使开始；创始,,9,9
117,2,introduction,9,n.采用；推行；引言；介绍,,9,9
