序号,Unit,单词,真题词频,完整释义（保留红色）,标红释义
1,1,radiate,0,v.发出，发射出（光、热等)，辐射，发射，发散，显露出,辐射；发散
2,1,radiant,0,adj.发光的，辐射的，照耀的，容光焕发的，满面春风的，极漂亮的,发光的；辐射的；容光焕发的
3,1,radical,0,adj.根本的，基本的;彻底的，过激的;激进的nm.激进分子,根本的；彻底的；激进的
4,1,object,0,n.物体，实物;（情感、思想和行动的)对象，客体，目的，宗由;宾语v(to)反对，不赞成,物体；对象；反对；不赞成
5,1,objective,0,adj.客观的，如实的，无偏见的nm.目的，宗旨,客观的；目的
6,1,objection,0,"反对,异议",反对；异议
7,1,obligation,0,n.义务，责任,义务；责任
8,1,oblige,0,vt.强迫，人迫使，施恩惠于，帮……的忙【解】v.使感激,强迫；迫使；使感激
9,1,obscure,0,vt.使变暗，路蔽，使变模糊，混淆adj.费解的，不分明的;不著名的【解】adj.无名的，鲜为人知的,并蔽；使变模糊；费解的；无名的；鲜为人知的
10,1,observation,0,n.观察，观测，监视，言论，观察资料或报告,观察；观测；言论
11,1,observe,0,v.观察，注意到，遵守，奏行规则、法律、习俗等)；（尤指就注意到或深思部虑,观察；注意到；遵守；说话；评论；评述
12,1,obsession,0,迷住，牵挂，居念，蒙绕于心的事物或人,迷住
13,1,obsolete,0,adj.废弃的，淘汰的;过时的，陈旧的,淘汰的；过时的
14,1,obtain,0,vt.获得，得到;存在，流行，沿缆,获得；得到
15,1,obvious,0,adj.明显的，显而易见的，平汉无奇的，不必要的,明显的；平淡无奇的
16,1,ideal,0,adj.理想的，完美的，空想的，理想主义的，想象的n.理想,理想的，完美的；理想
17,1,ideology,0,n.思想意识，观念形态，思想方式，思想体系,思想体系
18,1,identical,0,adj.同一的;（完全)相同的，一模一样的,（完全)相同的；一模一样的
19,1,identification,0,n.识别，鉴别，确认;身份证明,识别；身份证明
20,1,identify,0,v.认为……等同于，使等同于，识别，鉴别，确认，认出,识别；鉴别；认出
21,1,identity,0,n.相同性，一致（性)，本身，本体，身份,本身；本体；身份
22,1,journal,0,n.（（尤指某学科或专业的)定期刊物，杂志，报纸，日志，日记,定期刊物；杂志；日志
23,1,journalist,0,n.记者，新闻工作者,记者；新闻工作者
24,1,journey,0,n.旅行，旅程vi旅行,旅行
25,1,judge,0,"n.法官,审判员，裁(评)判员，鉴赏家vt.审判,判决评定，裁判，断定,判断",审判员；裁(评)判员；判决；判断
26,1,judgment,0,n.审判（多作不可数)，判决;判断力，识别，看法,审判；判决；判断力；看法
27,1,judicial,0,adj.法庭的，司法的，审判的，公正的，明断的,司法的
28,1,jury,0,n.陪审团，全体陪审员，评判委员会,陪审团；评判委员会
29,1,jurisdiction,0,n.司法权，审判权，管辖权;管辖区域，管辖范围,司法权；管辖权；管辖区域；管辖范围
30,1,justice,0,n.人公平，公正，合理，审判，司法（制度)，法律制裁【解】n.法官,公平；公正；合理；法官
31,1,justify,0,vt.证明……正当（或有理、正确),证明……正当（（或有理、正确)
32,1,label,0,n.标签，标记，标号vt.（as)加标签于，把……称为，把……归类为,标签；加标签于
33,1,lag,0,v.走得慢，落后，滞留，给（管道等)加保温层,落后
34,1,largely,0,adv.大量地，大规模地;主要地，基本上,大量地；主要地；基本上
35,1,lateral,0,adj.侧面的，旁边的，横向的,侧面的；旁边的；横向的
36,1,latter,0,adj.后一半的，末了的pron.后者,后一半的；后者
37,1,law,0,n.法律，法令，法规，法则【解】n.规律，定律,法律；法规；规律；定律
38,1,lawsuit,0,"诉讼,起诉",
39,1,magnitude,0,n.巨大，广大，星等，震级;重大，重要性,巨大；重要性
40,1,magnify,0,v.放大，扩大，夸大，夸张,放大；扩大
41,1,magnificent,0,adj.壮观的，壮丽的，宏伟的,壮丽的；宏伟的
42,1,maintain,0,vt.维持，保持，维修，保养，购养，供给;坚持，主张,维持；保持；保养；坚持；主张
43,1,maintenance,0,n.（（状态、进程等的)维持，保持;（建筑物、机器、道路等的)维修，保养，;（依法应负担的)生活费，购养费,维持；保养
44,1,major,0,adj.(较)大的，(较)重要的n.专业，主修科，专业学生，少校v(in)主修，专攻,(较)大的；(较)重要的；专业；主修
45,1,majority,0,n.多数，大多数，半数以上，票数差距，多得的票数【解】n.法定年龄;成年,大多数；法定年龄；成年
46,1,make,0,vt.做，制造，构成，组成;成为，使成为;强迫，人迫使【解】v.走过（一段距离)，促成，成就,做；制造；构成；强迫；走过（一段距离)；促成；成就
47,1,theme,0,n.（演讲、文章或艺术作品等的)主题，题目，中心思想,主题
48,1,theory,0,n.理论，原理，学说，见解，看法,理论；学说
49,1,theoretical,0,adj.理论上的;假设的,理论上的
50,1,therapy,0,n.（治)疗法，理疗,
51,1,qualification,0,n.资格，合格，限定，限制性条件;合格证,资格；限制性条件；合格证
52,1,qualify,0,v.使具有资格，证明合格，使有权（（做某事)，限制，限定，修饰,使具有资格；使有权〔（做某事)；修饰
53,1,quality,0,n.质量，品级;性质，特性，品德，品质，优质，上乘,质量；性质；特性；品德；品质；优质
54,1,qualitative,0,adj.性质上的，质量的,性质上的
55,1,safeguard,0,vt.维护，保护，捍卫n.防护措施，安全措施,维护；保护；捍卫；防护措施
56,1,safety,0,n.安全，保险，安全性，安全场所,安全；保险；安全场所
