序号,Unit,单词,真题词频,完整释义（保留红色）,标红释义
1,1,pioneer,0,n.先驱，倡导者，开拓者v倡导;开创，当开拓者，当先锋,先驱；倡导；开创
2,1,pipe,0,n.烟斗，管子，管道，笛子,管子；管道
3,1,pirate,0,n.海盗；咨印者，盗版者，侵犯专利权者vt.盗印，资版，掠夺，翻印,盗版者
4,1,pistol,0,n.手枪,手枪
5,1,pit,0,n.坑，陷阱，煤矿，矿井,坑；陷阱
6,1,pitch,0,n.（（体育)运动场地;音调，音高，推销说辞，沥青,推销
7,1,plagiarism,0,n.抄袭，绅窃，蔓窗作品,抄袭；惠窃作品
8,1,plague,0,n.癌疫，灾害v折磨，困扰，纠缠,灾害；折磨；困扰
9,1,plain,0,adj.明白的，易懂的，朴素的，平常的，坦率的，平凡的，普通的n.平原，旷野,平凡的；平原
10,1,planet,0,n.行星,行星
11,1,plant,0,n.植物，人花草;工厂;装置，设备vt.种植，栽种，灌输（某思想等),植物；工厂；种植；栽种
12,1,plantation,0,n.种植园,种植园
13,1,lay,0,v.放置，搁;下（蛋);铺设，砌（砖)adj.外行的，非专业的,放置；搁；外行的；非专业的
14,1,layer,0,n.层，表层，层次，阶层,层；层次
15,1,layman,0,n.外行，（（基督教中的)平信徒，在俗教徒（非神职人员)，俗人,外行
16,1,layout,0,n.布局，陈设,布局
17,1,marathon,0,n.马拉松赛跑;马拉松式的活动（或工作),马拉松赛跑
18,1,marble,0,n.大理石，云石【解】n.理智,理智
19,1,march,0,v（（使)行军，（（使)行进，把…带走，人迫使…到（（某处)n.行军，行程,(使)行进
20,1,marine,0,adj.海的，海生的;船舶的，航海的,海的；海生的
21,1,marital,0,adj.婚姻的，夫妻关系的,婚姻的
22,1,married,0,adj.(be)（to)与…结婚的;已婚的，夫妇的,已婚的
23,1,mark,0,n.痕迹，斑点;记号，符号;(考试等的)分数vt.批改，打分;标明，做记号,记号；分数；打分；做记号
24,1,marvelous / marvellous,0,adj.惊人的，奇迹般的，奇妙的,惊人的；奇迹般的
25,1,Marxist,0,adj.马克思主义的nm.马克思主义者,马克思主义的；马克忆主义者
26,1,mask,0,n.面具，面尝；假面具，伪装【解】vt.掩盖,面具；面巡；伪装；掩盖
27,1,naval,0,adj.海军的，军舰的,海军的
28,1,navigation,0,"航海，导航,领航",导航；领航
29,1,navy,0,n.海军,海军
30,1,nearby,0,adj.附近的adv在附近prep.在…附近,
31,1,nearly,0,adv.几乎，差不多，亲密地，秘密地,几乎；差不多
32,1,neat,0,adj.整洁的，干净的;优美的，精致的,整洁的；干净的
33,1,necklace,0,n.项链,项链
34,1,needle,0,n.针，指针，针状物【解】n.愤怒，敌意（尤指在竞争中)v.激怒,愤怒；收意
35,1,neighborhood,0,n.四邻，街坊;区域，街道,街坊；区域；街道
36,1,queer,0,adj.奇怪的，古怪的,奇怪的；古怪的
37,1,query,0,n.疑问，询问v怀疑，表示疑虑，提问，询问,疑问；询问
38,1,queue,0,n.（（排队等候的)一队人，一行列车v排队（（等候),一队人
39,1,quiver,0,v/n.颤抖，抖动,赢拌；抖动
40,1,quiz,0,n.测验，考查，问答比赛,测验；问答比赛
41,1,quota,0,n.配额，定额，（人或事物的)最高限额,配额；定额；最高限额
42,1,recall,0,v.回忆，回想，收回，召回nm记忆力，记性;收回，召回（令),回想；收回；记忆力；召回（令)
43,1,recollect,0,v.回忆，想起,回忆；想起
44,1,reconcile,0,vt.使和解，使和好，调停，调解，使一致,使和解；使一致
45,1,recur,0,\i复发，重现，再来，回想,重现
46,1,recreation,0,"ni马乐,消道",娱乐
47,1,recycle,0,vt.使再循环，反复利用，整修，改建nm.再循环，再生，重复利用,使再循环；反复利用
48,1,rectify,0,"纠正，改正，矫正,调整,六上E",纠正；矫正
49,1,redundant,0,adj.多余的，冗长的，累赘的，过剩的，后备的,多剑的；过剩的
50,1,reed,0,n.芦苇，革从，筑片,芦苇；簧片
51,1,reel,0,n.卷简，线轴vt.卷，绕【解】v.跟踊，中勋,跟嗓；蹦勋
52,1,sheer,0,adj.完全的，十足的，陡峭的，垂直的,完全的；陡峭的
53,1,sheet,0,n.被单，（（一)张，（一)片，沙片,(一)张；落片
54,1,shepherd,0,"牧民,牧羊人v带领,护送",带领
55,1,shrewd,0,adj.机灵的，敏锐的，精明的,敏锐的；精明的
56,1,shrink,0,vt(shrank/shrunk，shrunk)(使)起皱，收缩，缩水，(使)(数量、体积或价值)减少，缩小，（（尤指因恐惧而)月缩，退缩n.精神病学家，心理学家,收缩；减少；缩小
57,1,shut,0,vt.关，关闭,关闭
58,1,shutter,0,n.百叶窗，（（照相机)快门,快门
59,1,shuttle,0,v.穿梭往返n.往返汽车（列车、飞机）；梭子,往返汽车（列车、飞机)
60,1,shy,0,adj.怕羞的，采膜的，胆导的，易受惊的,怕羞的；须腹的；胆必的
61,1,theatre / theater,0,n.戏剧，戏院，阶梯教室,戏剧；戏院
62,1,theft,0,n.人偷窃，失窃,偷窃
63,1,thermal,0,adj.热的，由热造成的，温暖的，保肯的，与温度相关的,保暖的
64,1,thermometer,0,n.温度计，体温计,温度计
65,1,thesis,0,n.论文，论题，论点,论文；论题
66,1,thick,0,adj.厚的，稠的，浓的adv厚厚地，浓浓地，密集地,厚的；浓的
67,1,thigh,0,n.大腿，股,大腿
68,1,thorn,0,n.刺，划棘，使人生气（或苦恼)的事（或人),刺；莉束
69,1,thousand,0,pron.一千，一干个,=于
70,1,via,0,prep.经，通过,通过
71,1,viable,0,adj.可实施的，切实可行的，（生物等)能独立生存的，可生长发育的,可实施的；切实可行的；能独立生存的
72,1,vibrate,0,v（（使)振动，（使)摆动;回荡，共鸣,（使)振动；(使)摆动
73,1,vicinity,0,n.邻近，附近,邻近；附近
74,1,video,0,n.电视，视频，录像adj.电视的，视频的，录像的,视频；录像
75,1,violate,0,\必违反，违背，违犯，侵犯，打扰,违反；违背；侵犯
76,2,shabby,0,adj.低劣的，插鄙的，下流的;破旧的，衣衫祠袜的,插吕的；破旧的
77,2,shaft,0,n.轴，杆状物v亏待，菊骗（尤指骗钱),亏待；欺骗
78,2,shake,0,n.摇动，摇晃，v(shook，shaken)摇动，摇晃，震动，颤抖,摇动；颤抖
79,2,shallow,0,adj.浅的，浅薄的,浅的；浅薄的
80,2,shame,0,n.盖耻，关愧，耻夺，可下的人（或事)，憾事vt.使关愧，使丢脸,羞耻；耻辱；居事
81,2,shampoo,0,n.洗发衣，香波，洗发，洗头洲洗发江,洗发膏
82,2,shatter,0,v.打碎，使散开;粉碎，破坏n.碎片;落花（叶、粒),粉碎
83,2,shave,0,vt.剃，刮，刨，削。n.剃，刮【解】v.削减，降低,削减；降低
84,2,shear,0,vv前，修剪;剥夺(of)，削减,剥夺
85,2,shed,0,"vt.(shed，shed)流;发出，散发，去除，摆脱，(叶、交等)脱落,脱毛，昱皮",发出；散发；去除
86,2,terrible,0,adj.很糟的，极坏的，可怕的，骇人的，极度的，厉害的,很糟的；可怕的
87,2,terrific,0,adj.极好的，非常的，极度的，很强的，很大的，很多的,极好的
88,2,terrify,0,v.使害怕，使惊吓,使害怕；使惊吓
89,2,territory,0,n.领土，版图领域，范围,领土；领域
90,2,terror,0,n.恐怖，恺惧；可怕的人（（事),恐惧；可怕的人（（事)
91,2,textile,0,n.纺织品,纺织品
92,2,texture,0,n.（物体表面、或物质的)质地，外观，（（皮肤)肌理，（（织物的)疏密，松紧，气质，性格，本质，特征,质地；气质
93,2,wash,0,v.洗，洗涤，（（海水或河流)流动，冲刷,洗；洗涤；流动
94,2,waste,0,vv浪费，使荒芜adj.无用的，废弃的，匾范的_n.浪费，废物,浪费；匾范的；废物
95,2,watch,0,"vv观看，注视，看守，监视，(for)疯视,等待_n.表:;看管，监视",观看；注视；表；看管
96,2,ahead,0,adv.在前，向前，提前,在前；向前；提前
97,2,air-conditioning,0,n.空气调节系统，空调,空气调节系统；空调
98,2,aircraft,0,n.航空器，飞机,航空器；飞机
99,2,aisle,0,"nm.通道,走认,过道",通道；过道
100,2,alert,0,adj.警惕的，留神的，活泼的，敏捷的n.警戒状态，和警戒期间,警惕的
101,2,align,0,使成一条直线，对准;校直;便-致,使一致
102,2,alike,0,adj.相同的，相像的adv同样地，一视同仁地,相同的；相像的；同样地
103,2,alive,0,adj.活着的（表语形容词);活跃的，热闹的,活着的
104,2,algorithm,0,n.（（尤指电脑程序)算法，运算法则,算法
105,2,cheat,0,v.坎骗，作弊,欺骗；作弊
106,2,cheque / check,0,n.支票,支票
107,2,chest,0,n.胸腔，胸部，箱，柜,胸腔；胸部
108,2,chew,0,v.嚼，咀嚼;沉思，考虑（忠告、意见等),咀嚼；沉思；考虑
109,2,chief,0,n.首领，领袖adj.主要的，首要的,首领；领袖；主要的；首要的
110,2,childhood,0,n.幼年，童年,幼年；童年
111,2,chill,0,n.寒冷，寒气，寒闸vv（使)寒冷，（使)变凉,寒冷；（使)寒冷
112,2,chorus,0,n.合唱队，歌幼队，合唱;齐声说或喊的内容,合唱队；合唱
113,2,chronic,0,adj.（疾病)慢性的，（人)长期患病的;长期的，积习难改的，[英口]坏的，严重的,慢性的；长期的
114,2,chunk,0,n.厚块，大块，厚片;大量;大部分,大量；大部分
115,2,pin,0,n.大头针，别针vv(pinned，pinning)别住，钉住,别针；钉住
116,2,pinch,0,v.使紧缺，节约;使不舒服，使为难，捏，拧，夹n.捍，拧，夹，（一)撮，少量,使紧缺；少量
117,2,pint,0,n.品脱（液量单位，为/8加仑),品脱
118,2,delegate,0,n.代表v挑选或委派某人作代表；授权给,代表；授权给
119,2,delete,0,v.避删除,删除
120,2,delicious,0,adj.美味的，令人愉快的,美味的；令人愉快的
121,2,delight,0,n.高兴，快乐，乐事，乐趣v使高兴，使快乐,高兴；快乐；使高兴；使快乐
122,2,elect,0,"尼选举，推才;选择,决定",选举；推选
123,2,electric,0,adj.电的，导电的，电动的,电的；电动的
124,2,electrical,0,adj.电的，电学的,电的
125,2,electrician,0,n.电学家，电工,电工
126,2,elevate,0,vt.举起，提高，抬起，使情绪高晶,提高；使情绪高昂
127,2,elevator,0,n.电梯，升降机【解】n.粮仓,电梯；粮仓
128,2,eligible,0,adj.符合条件的，合格的,符合条件的；合格的
129,2,eloquent,0,adj.雄辩的，口才流利的，有说服力的,雄辩的；有说服力的
130,2,embark,0,vv上船(或飞机、汽车等);(on，upon)从事，着手，开始工作,从事；着手；开始工作
131,2,embarrass,0,vt.使窘迫，使局促不安,使窘迫；使局促不安
132,2,emigrate,0,v.移居外国（（或外地区),移居外国（或外地区)
133,2,emit,0,vt.发出，散发（光、热、电、声音、液体、气味等)，发射（电子),发出；散发
134,2,empire,0,n.帝国,帝国
135,2,empirical,0,adj.以观察或实验为依据的，经验主义的,以观察或实验为依据的；经验主义的
136,2,empty,0,adj.空的，空洞的，空虚的把…腾出来，倒空,空的；空洞的；空虚的
137,2,empathy,0,n.同感，共鸣，同情,同感；共鸣；同情
138,2,fee,0,n.学费，会费，酬金,学费；会费
139,2,feeble,0,adj.虚弱的，无力的，软弱的，无效的,虚弱的；无力的；无效的
140,2,grief,0,n.忧伤，悲伤，伤心事,悲伤；伤心事
141,2,grieve,0,v（（使)悲伤，（使)伤心,（使)悲伤；（使)伤心
142,2,grin,0,v.露齿而笑，虽着嘴笑，露齿笑着表示（某事)n.露齿笑,露齿而笑；虽着嘴笑；露齿笑
143,2,grind,0,v.磨，磨碎，碾碎;苦心地教（或学),磨碎；苦心地教（或学)
144,2,office,0,n.办公室，办事处，职务，人公职，部，局，处,办公室；办事处；职务
145,2,officer,0,n.官员，办事员，军官,官员；军官
146,2,official,0,n.官员，行政官员adj.官方的，正式的，公务的,官员；官方的；公务的
147,3,beg,0,vv乞求，乞讨，请求，野求,乞求；奶求
148,3,behind,0,prep.在…后面，落后于adv在后，面向后,在…后面；落后于；在后
149,3,being,0,n.生物，人；生存，存在，身心，思想感情，本性,生物；存在
150,3,all,0,adj.所有的，全部的pron.一切，全部adv完全，全部,所有的；全部的；全部；完全
151,3,allege,0,vt.断言，宣称，状解,断言；宣称
152,3,allegiance,0,n.（对政党、宗教、统治者的)忠诚，效忠，拥戴,忠诚；效忠；拥戴
153,3,alleviate,0,vt.使痛苦等)易于忍受，减轻，绥和,减轻；缓和
154,3,alliance,0,n.联盟，同盟，联姻,联盟；同盟
155,3,allowance,0,n.津贴，补贴，雯用钱,津贴；补贴
156,3,alloy,0,n.合金,合金
157,3,ally,0,n.同盟国，同盟者;支持者v（with)使结盟,同盟者；支持者
158,3,alone,0,adj.单独的，独自的，独一无二的（表语形容词，只能置于连系动词后，不能置于名词前)adv.仅仅，只;单独地，独自,单独的；独自的；仅仅；只；单独地；独自
159,3,along,0,prep.沿着，顺着adv.向前,沿着；顺着
160,3,alongside,0,adv.并肩地，并排地prep.在…旁边，横靠，与…并肩,与…并遍
161,3,alphabet,0,n.字母表,字母表
162,3,denounce,0,vt.（向当局)告发某人，谴责，指责，宣布退出（条约等),告发某人；谴责
163,3,dense,0,adj.密集的，浓的，愚蠢的,密集的
164,3,density,0,"密集，密度,洲度",密度
165,3,fellow,0,n.人人，家伙;伙伴，同事adj.同样的，同类的,人；家伙；伙伴；同类的
166,3,fellowship,0,n.伙伴关系，友谊；联谊会，团体,友谊；团体
167,3,female,0,adj.女（性)的;母的，肉的,女性)的；母的；肉的
168,3,feminine,0,adj.女性的，有女性气质的，（（语)阴性的,女性的；有女性气质的
169,3,fence,0,n.篱笛，围栏，击剑v击剑【解】v（一with)回避,击剑；回避
170,3,ferry,0,n.渡船v渡运（人、车或物等),渡船；渡运
171,3,fetch,0,v.取来，接来【解】v.售得（某价钱),取来；接来；售得
172,3,feudal,0,adj.封建的,封建的
173,3,fever,0,nn发热，发谋;泪项,发烧；狂热
174,3,heave,0,v（用力)举起，提升，扔（尤指重物)，（口中用力)发出（声音);起伏，升降nmn.举，提，拖，拉，扎,（用力)举起；扔
175,3,heaven,0,n.天堂，天空，上帝,天堂；天空
176,3,heavy,0,adj.重的，重型的，大量的，多的;心情沉重的，郁闽的,重的；重型的；心情沉重的
177,3,indoor,0,adj.室内的，户内的,室内的；户内的
178,3,induce,0,vt.引诱，劝导;引起，导致,引起；导致
179,3,indulge,0,v.放纵自己（或某人)；容许或迁就（某人)做某事，满足，让自己尽情享受某事物,放纵自己（或某人)；容许或迁就（某人)做某事
180,3,kin,0,n.家属，亲威，家族。adj.有亲属关系的，性质类似的，同类的,家属；亲戚；家族
181,3,kindness,0,n.仁慈，亲切，好意，友好行为,仁慈；亲切；好意
182,3,king,0,n.君主，国王,君主；国王
183,3,kingdom,0,n.王国，领域【解】n.（动物、植物、矿物)界,王国；动物、植物、矿物)界
184,3,kit,0,n.成套工具，用具包，工具箱vt.给某人装备,成套工具
185,3,mat,0,n.席子，垫子【解】n.一团，一簇vv编织;缠结。adj.无光泽的;不光亮的，亚光的,肆子；一团；一簇
186,3,match,0,n.比（竞)赛;对（（政)手，相配的人或物v匹配，相配，相称,比（竟)赛；相配的人或物；匹配；相配
187,3,may,0,vv可能，也许，可以;神，愿,可能；也许；可以
188,3,mayor,0,n.市长,市长
189,3,nest,0,n.窝，梨v筑梨,窝，巢
190,3,net,0,n.网，网状物vt.用网捕，使落网adj.净的，纯净的【解】v.净得，净赚,网；网状物；净的；纯净的；v.净得，净赚
191,3,network,0,"网状物，网络，网状系统，电视网,广播网",网状物；网络；电视网；广播网
192,3,neutral,0,adj.中立的，中性的，中和的,中立的；中性的
193,3,new,0,adj.新的，(to)不熟悉的，没有经验的，尚未习惯于,新的；不熟悉的
194,3,omit,0,vt.省略，删除，遗漏，忘记,省略；遗漏
195,3,opaque,0,adj.不透明的，临涩的，难理解的,不透明的；难理解的
196,3,opt,0,v.决定做;决定某事物，选择某事物,选择某事物
197,3,optical,0,adj.眼的，视力的;光学的,视力的
198,3,plaster,0,n.灰泥，（熟)石膏v抹灰，粉饰，粘贴，涂抹,
199,3,plastic,0,n.（常pl.)塑料，塑料制品adj.可塑的，塑料的,塑料；塑料的
200,3,plate,0,n.金属板，沙片，盘子，版，印版vt.镀，电镀【解】n.板块,盘子；板块
201,3,plateau,0,n.高原，稳定期，停滞期保持稳定水平，处于停清状态,稳定期；停滞期；保持稳定水平
202,3,platform,0,n.平台，台;站台，月台;政纲，党纲,平台；站人台；月台
203,3,play,0,n.游戏，比赛，剧本，戏剧活动，作用v演奏，起作用,游戏；剧本；戏剧；演奏；起作用
204,3,refine,0,v.提炼，[喻]改进，使变得完善（或精妙),提炼；改进；使变得完善
205,3,refrain,0,vi.节制，避免，制止mn.反复说的话，副歌,避免；反复说的话
206,3,refuge,0,n.避难，庇护，吉难所，收容所;庇护者,避难；庇护；避难所；收容所
207,3,refugee,0,n.难民，避难者，流亡者,难民；避难者
208,3,refund,0,vt.退还，偿还nm.归还，偿还额，退款,退还；退款
209,3,refusal,0,n.拒绝，回绝,拒绝；回绝
210,3,refuse,0,vt.拒绝，回绝n.垃圾，废弃物,拒绝；废弃物
211,3,circle,0,n.圆，圆周，周期，循环，圈子，界【解】n.阶层vt.环行，盘旋,圈子；阶层；环行；盘旋
212,3,circuit,0,n.环行，周线，巡回，电路，线路【解】n.巡回审判,电路；巡回审判
213,3,circular,0,adj.圆（形)的，环形的，循环的nm.传单，通报,循环的
214,3,circulate,0,v（（使)循环，（（使)流通【解】v(报刊等)发行,（使)循环；发行
215,3,citizen,0,n.公民，市民,公民
216,3,civil,0,adj.公民的，市民的，民事的，民法的，有礼犁的，文明的，文职的,公民的；有礼角的；文明的
217,3,civilian,0,n.平民，百姓,平民；百姓
218,3,civilise / -ize,0,vt.使文明，开化,使文明；开化
219,3,civilisation / -zation,0,"n.文明文化【解】n.文明阶段，文明社会,文明国家",文明；文明阶段；文明社会；文明国家
220,3,goat,0,n.山羊,山羊
221,3,gold,0,n.黄金，金币adj.黄的，金制的,黄金；金制的
222,3,golden,0,adj.金子般的;金黄色的;贵重的，极好的,贵重的；极好的
223,3,grab,0,v(at)抓（住)，夺得n.(at)抓仁，掠夺,抓（住7；夺得
224,3,grace,0,nm风度，优美，情理，宽限;册典,风度；优美
225,3,graceful,0,adj.优美的，文雅的,优美的
226,3,gracious,0,adj.（人或行为)（尤指对社会地位较低者)和欧的，慈祥的，有礼瑶的，宽厚的，（常用于名词前)富贵安逸的，优裕的，舒适的,和蕊的；慈祥的
227,4,chat,0,n.vi.闲谈，聊天,聊天
228,4,chain,0,"n.链（条)；杀钞;一系列，连锁【解】n.连锁商店vt.,用链条挫住",链(条)；一系列；连锁商店；用链条挫住
229,4,chair,0,n.椅子，（会议)主席，主席席位【解】v.担任主席，主持,椅子；(会议)主席；担任主席；主持
230,4,man erson,0,n.主席，委员长，董事长,主席；委员长；董事长
231,4,chamber,0,n.房间，究室，议院,房间；议院
232,4,champagne,0,n.香槟酒，香核色,香槟酒
233,4,champion,0,n.冠军，拥护者【解】v.捍卫，拥护,捍卫；拥护
234,4,chancellor,0,n.（（某些大学的)名誉校长，（（政府的)官员，大臣【解】n.法官,官员；大臣；法官
235,4,chaos,0,n.混乱，率乱,率乱
236,4,chapter,0,n.（（书籍的)章（节)，回,章（节)
237,4,charity,0,n.慈善（团体)，仁芝，施含,慈善（团体)
238,4,chart,0,v.记录，跟踪（进展或变化);（制订)行动计划;绘制…的地图（海图),图表
239,4,charter,0,vt.租船，租车nmn.帘章,宪章
240,4,deck,0,n.甲板【解】v[一sb/sth(out)]装饰……,
241,4,declaration,0,n.宣言，宣布，公告，正式声明;申报（单),宣言；宣布；正式声明
